id,latitude,longitude,geo_note
svolt-svolt-energy-technology-svolt-suining-plant-china,30.50802,105.57332,"[GEO=city:Suining] Coordinates: approximate city-centroid of Suining, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
svolt-honeycomb-energy-svolt-baoding-plant-r-d-centre-china,38.87288,115.46246,"[GEO=city:Baoding] Coordinates: approximate city-centroid of Baoding, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
svolt-energy-technology-honeycomb-energy-svolt-chengdu-plant-chengdu-eastern-new-area-base-china,30.66667,104.06667,"[GEO=city:Chengdu] Coordinates: approximate city-centroid of Chengdu, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
svolt-honeycomb-energy-svolt-huzhou-plant-south-taihu-new-area-china,30.8703,120.0933,"[GEO=city:Huzhou] Coordinates: approximate city-centroid of Huzhou, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
svolt-energy-technology-svolt-shangrao-base-china,28.45179,117.94287,"[GEO=city:Shangrao] Coordinates: approximate city-centroid of Shangrao, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
svolt-svolt-energy-technology-svolt-ma-anshan-plant-china,31.68579,118.51008,"[GEO=city:Maanshan] Coordinates: approximate city-centroid of Maanshan, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
svolt-svolt-nanjing-plant-lishui-base-china,32.06167,118.77778,"[GEO=city:Nanjing] Coordinates: approximate city-centroid of Nanjing, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
svolt-honeycomb-energy-svolt-taizhou-plant-china,32.49069,119.90812,"[GEO=city:Taizhou] Coordinates: approximate city-centroid of Taizhou, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
svolt-svolt-energy-technology-svolt-yancheng-plant-china,33.3575,120.1573,"[GEO=city:Yancheng] Coordinates: approximate city-centroid of Yancheng, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
hithium-hithium-xiamen-plant-xiamen-production-base-china,24.47979,118.08187,"[GEO=city:Xiamen] Coordinates: approximate city-centroid of Xiamen, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
hithium-hithium-chongqing-plant-china,29.56026,106.55771,"[GEO=city:Chongqing] Coordinates: approximate city-centroid of Chongqing, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
hithium-hithium-heze-plant-china,35.23929,115.47358,"[GEO=city:Heze] Coordinates: approximate city-centroid of Heze, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
rept-battero-rept-battero-wenzhou-plant-china,27.99942,120.66682,"[GEO=city:Wenzhou] Coordinates: approximate city-centroid of Wenzhou, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
rept-battero-rept-battero-jiaxing-plant-china,30.7522,120.75,"[GEO=city:Jiaxing] Coordinates: approximate city-centroid of Jiaxing, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
rept-battero-rept-battero-liuzhou-plant-china,24.32405,109.40698,"[GEO=city:Liuzhou] Coordinates: approximate city-centroid of Liuzhou, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
rept-battero-rept-battero-foshan-plant-china,23.02677,113.13148,"[GEO=city:Foshan] Coordinates: approximate city-centroid of Foshan, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
rept-battero-rept-battero-chongqing-plant-china,29.56026,106.55771,"[GEO=city:Chongqing] Coordinates: approximate city-centroid of Chongqing, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
sunwoda-sunwoda-shenzhen-plant-china,22.54554,114.0683,"[GEO=city:Shenzhen] Coordinates: approximate city-centroid of Shenzhen, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
sunwoda-evb-sunwoda-electronic-sunwoda-zaozhuang-plant-china,34.86472,117.55417,"[GEO=city:Zaozhuang] Coordinates: approximate city-centroid of Zaozhuang, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
farasis-energy-farasis-energy-zhenjiang-plant-china,32.21086,119.45508,"[GEO=city:Zhenjiang] Coordinates: approximate city-centroid of Zhenjiang, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
farasis-energy-farasis-energy-ganzhou-plant-30-gwh-new-energy-battery-project-china,25.84664,114.9326,"[GEO=city:Ganzhou] Coordinates: approximate city-centroid of Ganzhou, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
farasis-energy-farasis-energy-guangzhou-super-factory-30-gwh-power-battery-base-china,23.11667,113.25,"[GEO=city:Guangzhou] Coordinates: approximate city-centroid of Guangzhou, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
tianjin-lishen-battery-joint-stock-co-ltd-lishen-tianjin-plant-tianjin-binhai-new-energy-industry-base-china,39.14222,117.17667,"[GEO=city:Tianjin] Coordinates: approximate city-centroid of Tianjin, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
lishen-qingdao-new-energy-co-ltd-now-china-auto-new-energy-qingdao-battery-technology-co-ltd-lishen-qingdao-plant-lishen-qingdao-new-energy-renamed-china-auto-new-energy-qingdao-battery-technology-july-2025-china,36.06488,120.38042,"[GEO=city:Qingdao] Coordinates: approximate city-centroid of Qingdao, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
lishen-battery-suzhou-co-ltd-lishen-battery-suzhou-plant-china,31.30408,120.59538,"[GEO=city:Suzhou] Coordinates: approximate city-centroid of Suzhou, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
tianjin-lishen-battery-lishen-chuzhou-base-quanjiao-china,32.32194,118.29778,"[GEO=city:Chuzhou] Coordinates: approximate city-centroid of Chuzhou, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
tianjin-lishen-battery-lishen-wuxi-new-energy-industrial-base-china,31.56887,120.28857,"[GEO=city:Wuxi] Coordinates: approximate city-centroid of Wuxi, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
great-power-great-power-guangzhou-panyu-plant-china,23.11667,113.25,"[GEO=city:Guangzhou] Coordinates: approximate city-centroid of Guangzhou, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
great-power-guangzhou-great-power-energy-technology-great-power-liuzhou-smart-energy-storage-and-power-battery-manufacturing-base-china,24.32405,109.40698,"[GEO=city:Liuzhou] Coordinates: approximate city-centroid of Liuzhou, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
quzhou-great-power-energy-technology-co-ltd-great-power-quzhou-energy-storage-battery-base-quzhou-smart-manufacturing-new-city-china,28.95944,118.86861,"[GEO=city:Quzhou] Coordinates: approximate city-centroid of Quzhou, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
catl-catl-fuding-fuding-shidai-production-base-china,27.32734,120.21399,"[GEO=city:Fuding] Coordinates: approximate city-centroid of Fuding, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
changsha-findreams-battery-findreams-battery-byd-findreams-changsha-plant-ningxiang-china,28.25831,112.56048,"[GEO=city:Ningxiang] Coordinates: approximate city-centroid of Ningxiang, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
byd-findreams-battery-wuwei-findreams-battery-plant-byd-new-energy-power-battery-yangtze-river-delta-manufacturing-center-china,37.92672,102.63202,"[GEO=city:Wuwei] Coordinates: approximate city-centroid of Wuwei, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
findreams-battery-byd-byd-findreams-jinan-battery-plant-jinan-high-tech-zone-china,36.66833,116.99722,"[GEO=city:Jinan] Coordinates: approximate city-centroid of Jinan, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
findreams-battery-fuzhou-findreams-battery-plant-jiangxi-china,26.06139,119.30611,"[GEO=city:Fuzhou] Coordinates: approximate city-centroid of Fuzhou, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
findreams-battery-byd-findreams-shaoxing-shengzhou-battery-base-china,30.00237,120.57864,"[GEO=city:Shaoxing] Coordinates: approximate city-centroid of Shaoxing, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
byd-findreams-byd-findreams-huizhou-plant-china,23.11147,114.41523,"[GEO=city:Huizhou] Coordinates: approximate city-centroid of Huizhou, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
faw-findreams-new-energy-technology-co-ltd-faw-findreams-changchun-plant-changchun-power-battery-base-china,43.88,125.32278,"[GEO=city:Changchun] Coordinates: approximate city-centroid of Changchun, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
weichai-findreams-weichai-findreams-yantai-new-energy-power-industrial-park-china,37.47649,121.44081,"[GEO=city:Yantai] Coordinates: approximate city-centroid of Yantai, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
byd-changzhou-east-china-base-byd-findreams-changzhou-plant-china,31.77359,119.95401,"[GEO=city:Changzhou] Coordinates: approximate city-centroid of Changzhou, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
eve-energy-eve-energy-qujing-plant-23gwh-cylindrical-lfp-energy-storage-power-battery-project-china,25.48333,103.78333,"[GEO=city:Qujing] Coordinates: approximate city-centroid of Qujing, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
eve-energy-yuxi-eve-energy-co-ltd-eve-energy-yuxi-plant-yuxi-power-energy-storage-battery-project-china,24.355,102.54222,"[GEO=city:Yuxi] Coordinates: approximate city-centroid of Yuxi, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
eve-energy-eve-energy-qidong-plant-eve-linyang-china,31.81111,121.655,"[GEO=city:Qidong] Coordinates: approximate city-centroid of Qidong, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
sk-on-skoj-yancheng-battery-plant-sk-on-eve-energy-jv-china,33.3575,120.1573,"[GEO=city:Yancheng] Coordinates: approximate city-centroid of Yancheng, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
eve-energy-eve-energy-ningbo-plant-china,29.87819,121.54945,"[GEO=city:Ningbo] Coordinates: approximate city-centroid of Ningbo, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
eve-energy-eve-energy-shenyang-base-china,41.79222,123.43278,"[GEO=city:Shenyang] Coordinates: approximate city-centroid of Shenyang, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
tongcheng-gotion-high-tech-gotion-tongcheng-battery-base-40-gwh-power-battery-project-china,36.94529,119.32532,"[GEO=city:Longchi] Coordinates: approximate city-centroid of Longchi, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
yichun-gotion-yichun-gotion-battery-plant-china,27.83333,114.4,"[GEO=city:Yichun] Coordinates: approximate city-centroid of Yichun, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
wuhu-gotion-power-technology-co-ltd-wuhu-gotion-20gwh-new-energy-battery-base-gotion-wuhu-plant-china,31.35259,118.42947,"[GEO=city:Wuhu] Coordinates: approximate city-centroid of Wuhu, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
gotion-chuzhou-gotion-new-energy-power-co-ltd-gotion-new-energy-chuzhou-high-end-manufacturing-base-china,32.32194,118.29778,"[GEO=city:Chuzhou] Coordinates: approximate city-centroid of Chuzhou, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
calb-calb-xinyang-base-51-gwh-power-energy-storage-battery-project-china,32.12278,114.06556,"[GEO=city:Xinyang] Coordinates: approximate city-centroid of Xinyang, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
calb-technology-handan-co-ltd-calb-power-battery-and-energy-storage-battery-system-handan-base-china,36.60999,114.48764,"[GEO=city:Handan] Coordinates: approximate city-centroid of Handan, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
sunwoda-sunwoda-nanchang-power-battery-production-base-china,28.68396,115.85306,"[GEO=city:Nanchang] Coordinates: approximate city-centroid of Nanchang, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
calb-calb-leapmotor-wuyi-cell-plant-jinhua-china,29.10678,119.64421,"[GEO=city:Jinhua] Coordinates: approximate city-centroid of Jinhua, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
sunwoda-evb-sunwoda-electric-vehicle-battery-co-ltd-sunwoda-yiwu-new-energy-power-battery-production-base-china,29.31506,120.07676,"[GEO=city:Yiwu] Coordinates: approximate city-centroid of Yiwu, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
sunwoda-sunwoda-evb-sunwoda-power-sunwoda-zhuhai-plant-china,22.27694,113.56778,"[GEO=city:Zhuhai] Coordinates: approximate city-centroid of Zhuhai, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
farasis-energy-farasis-wuhu-plant-china,31.35259,118.42947,"[GEO=city:Wuhu] Coordinates: approximate city-centroid of Wuhu, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
great-power-guangzhou-great-power-energy-technology-co-ltd-penghui-energy-great-power-zhumadian-plant-zhumadian-production-base-china,32.97944,114.02944,"[GEO=city:Zhumadian] Coordinates: approximate city-centroid of Zhumadian, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
tianjin-lishen-battery-lishen-mianyang-southwest-production-base-china,31.46784,104.68168,"[GEO=city:Mianyang] Coordinates: approximate city-centroid of Mianyang, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
great-power-great-power-guangde-plant-china,22.54554,114.0683,"[GEO=city:Shenzhen] Coordinates: approximate city-centroid of Shenzhen, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
great-power-qingdao-great-power-qingdao-energy-storage-battery-zero-carbon-manufacturing-base-china,36.06488,120.38042,"[GEO=city:Qingdao] Coordinates: approximate city-centroid of Qingdao, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
envision-aesc-envision-aesc-wuxi-plant-jiangyin-battery-manufacturing-base-china,31.91102,120.26302,"[GEO=city:Jiangyin] Coordinates: approximate city-centroid of Jiangyin, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
envision-aesc-envision-aesc-ordos-plant-ordos-envision-net-zero-industrial-park-china,39.6086,109.78157,"[GEO=city:Ordos] Coordinates: approximate city-centroid of Ordos, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
envision-aesc-envision-aesc-cangzhou-plant-cangzhou-zero-carbon-intelligent-industrial-park-china,38.31124,116.85334,"[GEO=city:Cangzhou] Coordinates: approximate city-centroid of Cangzhou, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
envision-aesc-envision-aesc-shiyan-plant-zero-carbon-smart-battery-industrial-park-china,32.6475,110.77806,"[GEO=city:Shiyan] Coordinates: approximate city-centroid of Shiyan, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
jiangsu-highstar-battery-manufacturing-co-ltd-highstar-battery-highstar-qidong-plant-china,31.81111,121.655,"[GEO=city:Qidong] Coordinates: approximate city-centroid of Qidong, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
guangdong-highstar-haisida-power-highstar-zhuhai-energy-storage-battery-base-fushan-industrial-park-china,22.27694,113.56778,"[GEO=city:Zhuhai] Coordinates: approximate city-centroid of Zhuhai, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
tianneng-new-energy-huzhou-co-ltd-zhejiang-tianneng-energy-storage-co-tianneng-changxing-south-taihu-lithium-battery-base-china,30.8703,120.0933,"[GEO=city:Huzhou] Coordinates: approximate city-centroid of Huzhou, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
narada-power-zhejiang-narada-power-source-co-ltd-narada-hangzhou-lin-an-plant-china,30.29365,120.16142,"[GEO=city:Hangzhou] Coordinates: approximate city-centroid of Hangzhou, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
